"代號","名稱","股價日期","成交","漲跌價","漲跌幅","股利發放頻率","平均股利(元)","2017發放年度","2018發放年度","2019發放年度","2020發放年度","2021發放年度","2022發放年度","2023發放年度","2024發放年度","2025發放年度","2026發放年度"
="1294","漢田生技","01/09","77.3","+0.3","+0.39","年","2.477","","","","","4","2.875","1.5","3","1.008",""
="1295","生合","01/09","84.2","0","0","年","0.05","","","","","","0","0","0.2","0",""
="1301","台塑","01/09","41","-0.7","-1.68","年","0","0","0","0","0","0","0","0","0","0",""
="1303","南亞","01/09","61.9","-5.1","-7.61","年","0","0","0","0","0","0","0","0","0","0",""
="1304","台聚","01/09","11.1","-0.15","-1.33","年","0.044","0.2","0.2","0","0","0","0","0","0","0",""
="1305","華夏","01/09","11.15","-0.2","-1.76","年","0.222","0.3","0.3","0.4","0.5","0.5","0","0","0","0",""
="1307","三芳","01/09","31.95","+0.15","+0.47","年","0","0","0","0","0","0","0","0","0","0",""
="1308","亞聚","01/09","12.95","-0.4","-3","年","0.189","0.3","0.7","0","0.5","0.2","0","0","0","0",""
="1309","台達化","01/09","11.45","+0.1","+0.88","年","0.222","0","0","0.2","0.3","1","0.5","0","0","0",""
="1310","台苯","01/09","8.64","-0.19","-2.15","年","0","0","0","0","0","0","0","0","0","0",""
="1312","國喬","01/09","12.4","+0.45","+3.77","年","0","0","0","0","0","0","0","0","0","0",""
"1312A","國喬特","01/09","23","0","0","年","0","0","0","0","0","0","0","0","0","0",""
="1313","聯成","01/09","10.05","-0.15","-1.47","年","0.15","0.25","0.8","0.298","0","0","0","0","0","0",""
="1314","中石化","01/09","7.89","-0.13","-1.62","年","0.056","0","0","0.5","0","0","0","0","0","0",""
="1319","東陽","01/09","94.7","-0.5","-0.53","年","0","0","0","0","0","0","0","0","0","0",""
="1321","大洋","01/09","35","0","0","年","0","0","0","0","0","0","0","0","0","0",""
="1323","永裕","01/09","19.45","-0.05","-0.26","年","0","0","0","0","0","0","0","0","0","0",""
="1324","地球","01/09","11.35","0","0","年","0","0","0","0","0","0","0","0","0","0",""
="1325","恆大","01/09","30.65","+0.6","+2","年","0","0","0","0","0","0","0","0","0","0",""
="1326","台化","01/09","31.9","-0.7","-2.15","年","0","0","0","0","0","0","0","0","0","0",""
="1336","台翰","01/09","16.05","+0.15","+0.94","年","0","0","0","0","0","0","0","0","0","0",""
="1337","再生-KY","01/09","4.85","-0.01","-0.21","年","0.01","0.064","0.026","0","0","0","0","0","0","0",""
="1338","廣華-KY","01/09","20.3","+0.3","+1.5","年","0","0","0","0","0","0","0","0","0","0",""
="1339","昭輝","01/09","42.05","+0.05","+0.12","年","0","0","0","0","0","0","0","0","0","0",""
="1340","勝悅-KY","01/09","6.71","-0.16","-2.33","年","0.333","1","1","1","0","0","0","0","0","0",""
="1342","八貫","01/09","92.3","-0.5","-0.54","年","0.167","","","","0","0","0","0","1","0",""
="1402","遠東新","01/09","28.35","+0.1","+0.35","年","0","0","0","0","0","0","0","0","0","0",""
="1409","新纖","01/09","14.85","0","0","年","0","0","0","0","0","0","0","0","0","0",""
="1410","南染","01/09","34.15","+0.05","+0.15","年","0","0","0","0","0","0","0","0","0","0",""
="1413","宏洲","01/09","9.98","+0.01","+0.1","年","0","0","0","0","0","0","0","0","0","0",""
="1416","廣豐","01/09","11.8","+0.1","+0.85","年","0","0","0","0","0","0","0","0","0","0",""
="1417","嘉裕","01/09","8.8","+0.03","+0.34","年","0","0","0","0","0","0","0","0","0","0",""
="1418","東華","01/09","19.8","-0.1","-0.5","年","0","0","0","0","0","0","0","0","0","0",""
="1419","新紡","01/09","72.8","+0.2","+0.28","年","0","0","0","0","0","0","0","0","0","0",""
="1423","利華","01/09","38","-0.2","-0.52","年","0","0","0","0","0","0","0","0","0","0",""
="1432","大魯閣","01/09","17.95","+0.15","+0.84","年","0","0","0","0","0","0","0","0","0","0",""
="1434","福懋","01/09","15.9","-0.2","-1.24","年","0","0","0","0","0","0","0","0","0","0",""
="1435","中福","01/09","21.35","0","0","年","0","0","0","0","0","0","0","0","0","0",""
="1436","華友聯","01/09","61.7","-0.5","-0.8","年","0.717","0","0.5","2","0","0","0","0","0.938","3.014",""
="1438","三地開發","01/09","32.95","-0.25","-0.75","年","0","0","0","0","0","0","0","0","0","0",""
="1439","雋揚","01/09","29.95","+0.65","+2.22","年","0","0","0","0","0","0","0","0","0","0",""
="1440","南紡","01/09","13.35","+0.15","+1.14","年","0","0","0","0","0","0","0","0","0","0",""
="1441","大東","01/09","10.35","-0.05","-0.48","年","0.323","0","0","2.904","0","0","0","0","0","0",""
="1442","名軒","01/09","30","+0.15","+0.5","年","0.11","0.994","0","0","0","0","0","0","0","0",""
="1443","立益物流","01/09","26.95","+0.1","+0.37","年","0","0","0","0","0","0","0","0","0","0",""
="1444","力麗","01/09","6.21","-0.01","-0.16","年","0.044","0","0","0","0","0","0","0.4","0","0",""
="1445","大宇","01/09","12.45","-0.05","-0.4","年","0","0","0","0","0","0","0","0","0","0",""
="1446","宏和","01/09","18.15","+0.1","+0.55","年","0","0","0","0","0","0","0","0","0","0",""
="1447","力鵬","01/09","5.27","+0.04","+0.76","年","0","0","0","0","0","0","0","0","0","0",""
="1449","佳和","01/09","11.3","+0.1","+0.89","年","0.1","0","0","0","0","0","0","0.294","0.277","0.327",""
="1451","年興","01/09","17.2","-0.15","-0.86","年","0","0","0","0","0","0","0","0","0","0",""
="1452","宏益","01/09","11.75","0","0","年","0","0","0","0","0","0","0","0","0","0",""
="1453","大將","01/09","12.15","-0.05","-0.41","年","0.267","0","0","1","0.2","0","0.3","0.3","0.3","0.3",""
="1454","台富","01/09","12.9","+0.4","+3.2","年","0","0","0","0","0","0","0","0","0","0",""
="1455","集盛","01/09","7.74","-0.03","-0.39","年","0","0","0","0","0","0","0","0","0","0",""
="1456","怡華","01/09","13.5","+0.35","+2.66","年","0","0","0","0","0","0","0","0","0","0",""
="1457","宜進","01/09","15.6","+0.1","+0.65","年","0.056","0","0","0","0","0","0","0","0.5","0",""
="1459","聯發","01/09","11.8","-0.05","-0.42","年","0","0","0","0","0","0","0","0","0","0",""
="1460","宏遠","01/09","6.4","+0.01","+0.16","年","0.089","0.4","0.2","0.2","0","0","0","0","0","0",""
