"代號","名稱","股價日期","成交","漲跌價","漲跌幅","股利發放頻率","平均股利(元)","2017發放年度","2018發放年度","2019發放年度","2020發放年度","2021發放年度","2022發放年度","2023發放年度","2024發放年度","2025發放年度","2026發放年度"
"00982A","主動群益台灣強棒","01/08","14.78","-0.17","-1.14","季","0","","","","","","","","","0",""
"00984A","主動安聯台灣高息","01/08","11.58","-0.07","-0.6","季","0","","","","","","","","","0","0"
="1102","亞泥","01/08","37.1","+0.3","+0.82","季","0","0","0","0","0","0","0","0","0","0","0"
="1218","泰山","01/08","18.1","-0.05","-0.28","季","0","0","0","0","0","0","0","0","0","0",""
="1229","聯華","01/08","46.25","0","0","季","0.71","0.5","1","0.5","1.6","1","0.5","0.7","0.8","0.5","0"
="1341","富林-KY","01/08","57.9","+0.7","+1.22","季","0","","0","0","0","0","0","0","0","0",""
="1437","勤益控","01/08","33.15","-0.05","-0.15","季","0.05","0","0.5","0","0","0","0","0","0","0","0"
="1593","祺驊","01/08","29.55","-0.25","-0.84","季","0.06","0","0","0","0","0","0","0.596","0","0","0"
="2028","威致","01/08","17.8","-1.05","-5.57","季","0","0","0","0","0","0","0","0","0","0","0"
="2061","風青","01/08","18.6","+0.25","+1.36","季","0","0","0","0","0","0","0","0","0","0","0"
="2063","世鎧","01/08","24.6","+0.1","+0.41","季","0","0","0","0","0","0","0","0","0","0","0"
="2065","世豐","01/08","29.3","+0.5","+1.74","季","0.285","0","0","0","1.865","0.98","0","0","0","0","0"
="2301","光寶科","01/08","161.5","-2","-1.22","季","0","0","0","0","0","0","0","0","0","0",""
="2330","台積電","01/08","1685","+10","+0.6","季","0","0","0","0","0","0","0","0","0","0","0"
="2365","昆盈","01/08","34.8","-1.05","-2.93","季","0","0","0","0","0","0","0","0","0","0","0"
="2461","光群雷","01/08","16.25","-0.5","-2.99","季","0","0","0","0","0","0","0","0","0","0","0"
="2530","華建","01/08","29.2","+0.1","+0.34","季","0","0","0","0","0","0","0","0","0","0",""
="2707","晶華","01/08","189.5","+1","+0.53","季","0","0","0","0","0","0","0","0","0","0","0"
="2718","全心投控","01/08","51.1","0","0","季","0","0","0","0","0","0","0","0","0","0","0"
="2732","六角","01/08","68.4","0","0","季","0.055","0","0.493","0","0","0","0","0","0","0",""
="2756","聯發國際","01/08","77.4","+0.1","+0.13","季","0.726","","","0","0","1.81","2","2","0","0","0"
="2762","世界健身-KY","01/08","75.7","-0.6","-0.79","季","0","","","","","","","","0","0",""
="3041","揚智","01/08","24.8","-0.65","-2.55","季","0","0","0","0","0","0","0","0","0","0",""
="3289","宜特","01/08","114","-1.5","-1.3","季","0","0","0","0","0","0","0","0","0","0","0"
="3465","進泰電子","01/08","49","0","0","季","0","0","0","0","0","0","0","0","0","0","0"
="3629","地心引力","01/08","22.3","0","0","季","0","0","0","0","0","0","0","0","0","0",""
="4137","麗豐-KY","01/08","103","+1","+0.98","季","0","0","0","0","0","0","0","0","0","0",""
="4735","豪展","01/08","32.15","-0.35","-1.08","季","0","0","0","0","0","0","0","0","0","0",""
="4755","三福化","01/08","110.5","-2","-1.78","季","0","0","0","0","0","0","0","0","0","0","0"
="4766","南寶","01/08","321.5","+1.5","+0.47","季","0.02","0.2","0","0","0","0","0","0","0","0","0"
="4804","大略-KY","01/08","7.08","-0.22","-3.01","季","0","0","0","0","0","0","0","0","0","0",""
="4912","聯德控股-KY","01/08","99.4","-3.6","-3.5","季","0.444","0","0","1.999","0","1.498","0","0","0","0.5",""
="4989","榮科","01/08","49.8","-0.05","-0.1","季","0","0","0","0","0","0","0","0","0","0","0"
="5009","榮剛","01/08","32.65","-0.8","-2.39","季","0","0","0","0","0","0","0","0","0","0","0"
="5278","尚凡*","01/08","30","0","0","季","0.808","0","0","0","0","0","4.6","0","3.484","0","0"
="5306","桂盟","01/08","89.5","+0.6","+0.67","季","0.05","0","0.5","0","0","0","0","0","0","0","0"
="5478","智冠","01/08","99.5","+2","+2.05","季","0","0","0","0","0","0","0","0","0","0",""
="6123","上奇","01/08","46.35","-0.15","-0.32","季","0.1","0.5","0","0.5","0","0","0","0","0","0","0"
="6148","驊宏資","01/08","39.1","-0.6","-1.51","季","0","0","0","0","0","0","0","0","0","0","0"
="6219","富旺","01/08","20.15","-0.05","-0.25","季","0.05","0","0","0","0","0","0","0","0","0.5","0"
="6277","宏正","01/08","60","-0.1","-0.17","季","0","0","0","0","0","0","0","0","0","0","0"
="6523","達爾膚","01/08","118","-1","-0.84","季","0","0","0","0","0","0","0","0","0","0",""
="6548","長科*","01/08","45.3","-2.2","-4.63","季","0","0","0","0","0","0","0","0","0","0","0"
="6574","霈方","01/08","66","-1","-1.49","季","0","0","0","0","0","0","0","0","0","0","0"
="6799","來頡","01/08","82.5","-2.5","-2.94","季","0","","","","","0","0","0","0","0","0"
="6919","康霈*","01/08","142","+0.5","+0.35","季","0","","","","","","0","0","0","0",""
="6931","青松健康","01/08","60.8","-0.1","-0.16","季","0.418","","","","","","","0.375","0.88","0",""
="7631","聚賢研發-創","01/08","136","-0.5","-0.37","季","0","","","","","","","0","0","0","0"
="7780","大研生醫","01/08","185","+3.5","+1.93","季","0","","","","","","","","0","0",""
="8411","福貞-KY","01/08","12.25","+0.1","+0.82","季","0.107","1.07","0","0","0","0","0","0","0","0","0"
="8443","阿瘦","01/08","11.1","0","0","季","0","0","0","0","0","0","0","0","0","0",""
="8467","波力-KY","01/08","169.5","-2.5","-1.45","季","0","0","0","0","0","0","0","0","0","0",""
="9946","三發地產","01/08","19.15","+0.05","+0.26","","0.298","0","0.75","0.7","1.034","0.5","0","0","0","0","0"
