"代號","名稱","股價日期","成交","漲跌價","漲跌幅","股利發放頻率","平均股利(元)","2017發放年度","2018發放年度","2019發放年度","2020發放年度","2021發放年度","2022發放年度","2023發放年度","2024發放年度","2025發放年度","2026發放年度"
="2102","泰豐","01/08","19.75","+0.45","+2.33","半年","0.013","0.1","0","0","0","0.02","0","0","0","0",""
="2109","華豐","01/08","14.95","0","0","半年","0.589","0.2","0","0","0","0.5","1","0.8","1.5","1.3",""
="2206","三陽工業","01/08","60.2","+0.1","+0.17","半年","1.45","1.034","1.018","1","1.01","1.309","1.3","1.8","3","3.028","0"
="2236","百達-KY","01/08","113","-3.5","-3","半年","0.882","1.963","0.763","0.102","0.061","1.866","3.18","0.092","0.486","0.31","0"
="2247","汎德永業","01/08","274.5","-0.5","-0.18","半年","11.66","","8","7.5","8.438","11","12","15","18","18.5","6.5"
="2254","巨鎧精密-創","01/08","59.7","+0.1","+0.17","半年","0.363","","","","","","1.11","0.34","0","0",""
="2327","國巨*","01/08","237.5","-15.5","-6.13","","14.59","3","14.86","44.83","13.06","10.08","10.1","9.994","19.97","20","0"
="2331","精英","01/08","23.3","-0.55","-2.31","半年","0.446","0","1","0","0","1.001","0","0.8","1","0.21",""
="2342","茂矽","01/08","33.7","-2.45","-6.78","半年","0.357","0","0","0.27","0","0.5","0.5","2","0","0.3","0"
="2344","華邦電","01/08","108.5","+2","+1.88","半年","0.49","0.6","1","1","0.1","0.2","1","1","0","0","0"
="2359","所羅門","01/08","132","-1.5","-1.12","半年","0.95","1","1","1.1","0.8","0.5","0.9","1.5","1.7","1","0"
="2371","大同","01/08","30.5","-0.5","-1.61","半年","0.311","0","0","0","0","0","0","0","0","3.105","0"
="2375","凱美","01/08","88.8","-4.5","-4.82","半年","1.43","0","3","3","0.5","2","2","1.5","0.8","1.5","0"
="2380","虹光","01/08","5.53","+0.5","+9.94","半年","0","0","0","0","0","0","0","0","0","0",""
="2382","廣達","01/08","273","-9","-3.19","半年","5.994","3.5","3.4","3.55","3.7","5.2","6.6","6","9","13",""
="2405","輔信","01/08","17.45","-0.7","-3.86","半年","0.066","0.12","0","0","0","0","0","0.2","0.17","0.17","0"
="2454","聯發科","01/08","1445","-45","-3.02","半年","36.3","9.5","10","9","10.5","37","73","76.01","55.01","54","29"
="2458","義隆","01/08","118","+0.5","+0.43","半年","6.345","1.57","2.58","5","6.5","9","13.81","5.115","7.122","6.408",""
="2474","可成","01/08","205.5","-2","-0.96","半年","11.69","10","12","12","10","12","10.21","15","12.5","11.49",""
="2489","瑞軒","01/08","15.8","-0.95","-5.67","半年","0.368","1.7","0","0","0","0.14","0.75","0","0.59","0.5","0"
="2496","卓越","01/08","67.7","-0.2","-0.29","半年","4.133","2.5","6.5","4","1.516","4.52","3","3.3","4.68","7.18",""
="2506","太設","01/08","9.08","-0.05","-0.55","半年","0.212","0.1","0.15","0.16","0","0.4","0.2","0.3","0.2","0.4",""
="2528","皇普","01/08","29.95","+0.1","+0.34","","0.346","0","0","0","0","0","0.468","0.5","0.496","2","0"
="2543","皇昌","01/08","62.5","+0.3","+0.48","半年","0.233","0.3","0","0","0","0","0","0.3","0.7","0.8",""
="2636","台驊控股","01/08","67.4","+0.4","+0.6","半年","4.923","0.8","1.3","2.2","1.318","3.016","13","13.18","6.5","3",""
="2751","王座","01/08","61.9","+0.3","+0.49","半年","1.596","","0.18","","0","0","0","0","5","5.992",""
="2753","八方雲集","01/08","191","+1","+0.53","半年","7.214","","","8","3","8.773","6.717","7.006","7","10",""
="2939","永邑-KY","01/08","24.05","-1.65","-6.42","半年","4.12","10.7","15","9","4.5","2","0","0","0","0","0"
="2947","振宇五金","01/08","82.6","+0.3","+0.36","半年","2.833","","","","3","3.6","5","1.5","1.8","2.1",""
="3008","大立光","01/08","2475","-75","-2.94","半年","80.35","63.5","72.5","68","79","91.5","109.7","72.5","81","85.5",""
="3042","晶技","01/08","79.7","-0.2","-0.25","半年","4.2","2.8","2.5","2","2.5","3.8","7.5","7","4.5","5.2",""
="3049","精金","01/08","7.05","-0.14","-1.95","半年","0.109","0","0","0","0.35","0.39","0.35","0","0","0","0"
="3054","立萬利","01/08","31.65","-1.05","-3.21","半年","0.057","0.11","0.4","0","0","0","0","0","0","0",""
="3149","正達","01/08","40.7","+1.1","+2.78","半年","0","0","0","0","0","0","0","0","0","0",""
="3260","威剛","01/08","286","-4","-1.38","半年","3.035","4","6","0.2","1.411","3.184","5.434","2","3","5.122","0"
="3293","鈊象","01/08","730","+6","+0.83","半年","24.8","10","11","11","25","42","50","35","35","29","0"
="3406","玉晶光","01/08","428.5","-10","-2.28","半年","7.597","0","3.5","3.495","8.991","9.991","7.994","12","12","18","0"
="3555","博士旺","01/08","91.1","+1.9","+2.13","半年","0.167","0.1","1.2","0","0","0","0.2","0","0","0",""
="3563","牧德","01/08","503","-17","-3.27","半年","11.02","4.2","10","27","13","11","12","9","7","6",""
="3617","碩天","01/08","193","-11","-5.39","半年","5.472","4.75","5","5.3","5.35","5.4","1","5","7.925","15","0"
="3680","家登","01/08","413.5","-5.5","-1.31","半年","4.09","0.37","0.25","0.254","2.028","4.861","6.801","7.951","7.296","7",""
="3708","上緯投控","01/08","109","-1.5","-1.36","半年","3.314","1.011","1.99","5","4.002","3.5","1.429","5","5.551","2.345",""
="4148","全宇生技-KY","01/08","37.9","-0.1","-0.26","半年","1.47","2.15","2.65","2.4","1","1","1.5","2.5","1","0.5","0"
="4414","如興","01/08","10.95","0","0","半年","0","0","0","0","0","0","0","0","0","0",""
="4420","光明","01/08","50","+0.15","+0.3","半年","6.056","1.2","1.2","2.6","2","2","2","2","36","5.5",""
