"代號","名稱","股價日期","成交","漲跌價","漲跌幅","股利發放頻率","平均股利(元)","2017發放年度","2018發放年度","2019發放年度","2020發放年度","2021發放年度","2022發放年度","2023發放年度","2024發放年度","2025發放年度","2026發放年度"
="3504","揚明光","01/08","50.5","-0.5","-0.98","年","0.056","0","0","0.5","0","0","0","0","0","0",""
="3508","位速","01/08","23.55","-0.45","-1.88","年","0","0","0","0","0","0","0","0","0","0",""
="3511","矽瑪","01/08","21.1","-0.05","-0.24","年","0.444","0","0","0","0","0.5","1","2.5","0","0",""
="3512","皇龍","01/08","21.4","-0.1","-0.47","年","1.378","0","0","0","0","2","3","3","3.206","1.2",""
="3515","華擎","01/08","242","-0.5","-0.21","年","6.134","2","4","4.001","4","8","13","8.001","6.9","5.301",""
="3516","亞帝歐","01/08","20","-0.1","-0.5","年","0.097","0","0","0","0","0.2","0.2","0.2","0.02","0.25",""
="3518","柏騰","01/08","21.55","-0.35","-1.6","年","0.223","0.51","0","0","0","0","1","0.5","0","0",""
="3520","華盈","01/08","16.2","-0.2","-1.22","年","0.056","0","0","0","0","0","0","0.3","0.1","0.1",""
="3521","鴻翊","01/08","14.25","-0.35","-2.4","年","0","0","0","0","0","0","0","0","0","0",""
="3522","御嵿","01/08","18.1","-0.5","-2.69","年","0","0","0","0","0","0","0","0","0","0",""
="3523","迎輝","01/08","18.25","-0.1","-0.54","年","0","0","0","0","0","0","0","0","0","0",""
="3526","凡甲","01/08","247.5","+2","+0.81","年","8.371","4.8","2.531","5.2","5.348","9.134","11.08","9.4","11.39","16.46",""
="3527","聚積","01/08","55.3","0","0","年","3.657","3.5","2.269","5","4.146","2","8","4","2","2",""
="3528","安馳","01/08","65.6","-0.4","-0.61","年","2.778","2.4","2.3","2.5","2.5","2.9","3.8","4.1","1.5","3",""
="3529","力旺","01/08","1665","-110","-6.2","年","12.44","6.5","7.499","7.998","7","8.999","14","20.5","17.5","22",""
="3530","晶相光","01/08","75.4","-3.6","-4.56","年","1.531","1.484","1.995","1.999","2","2.8","3.499","0","0","0",""
="3531","先益","01/08","21","-0.35","-1.64","年","1.422","1.1","2","1.2","1.8","1","1.2","2","1.7","0.8",""
="3532","台勝科","01/08","113.5","-5.5","-4.62","年","3.747","0.67","2.08","9","3.5","2.15","2.22","7.3","5","1.8",""
="3533","嘉澤","01/08","1405","+60","+4.46","年","16.73","4","5.5","8.7","10.5","13.3","15.92","25.18","25.75","41.72",""
="3535","晶彩科","01/08","94.1","+2.7","+2.95","年","0.278","0","0","0","0.5","0","0.5","1","0","0.5",""
="3537","堡達","01/08","50.1","-1","-1.96","年","2.189","1.2","1.8","2.4","1.5","2.5","3.5","2.5","2","2.3",""
="3540","曜越","01/08","32.6","+0.5","+1.56","年","1.207","1","1.3","1.5","0.776","3.492","1.6","0.298","0.896","0",""
="3541","西柏","01/08","23.9","+0.1","+0.42","年","3.122","4","5","4","5.045","2.016","3.033","5","0","0",""
="3543","州巧","01/08","42.5","-0.7","-1.62","年","0.822","0.6","0.5","0.6","0.8","1.2","1.2","1","1","0.5",""
="3545","敦泰","01/08","52.6","-1.5","-2.77","年","2.722","0.659","0.512","0.52","0.503","3.232","15.84","0.503","0.996","1.736",""
="3546","宇峻","01/08","80","+1.6","+2.04","年","4.067","2.572","3.1","4.3","3.348","4.681","5","5.5","4","4.1",""
="3548","兆利","01/08","88.2","-1","-1.12","年","3.061","3.525","3.021","4.5","2.5","2.5","2","3","4.5","2",""
="3550","聯穎","01/08","14.9","-0.7","-4.49","年","0.644","1.5","1.5","1","0.5","0.5","0.3","0.5","0","0",""
="3551","世禾","01/08","190","-6","-3.06","年","2.289","1","1.2","1.6","1.7","2.2","3.5","3.2","2.8","3.4",""
="3552","同致","01/08","61","-1.1","-1.77","年","2.197","7.472","2","0","0","1.5","2.5","3.5","2","0.8",""
="3556","禾瑞亞","01/08","36.9","+0.2","+0.54","年","3.359","3.7","4.1","3.3","3.3","3.15","5","4.7","0.9","2.08",""
="3557","嘉威","01/08","35.9","+0.2","+0.56","年","2.833","0","0","0","2.35","6.65","6","5","3","2.5",""
="3558","神準","01/08","128","-0.5","-0.39","年","4.967","8","6","6.5","5.2","4","3","5","4","3",""
="3564","其陽","01/08","47.8","-0.85","-1.75","年","0.538","1","0","0","0.6","0.6","0.6","0.8","0.35","0.89",""
="3567","逸昌","01/08","25.65","-0.5","-1.91","年","2.134","2","2.3","2","1.709","2","2.6","2.1","2.7","1.8",""
="3570","大塚","01/08","163.5","-0.5","-0.3","年","5.387","3","1.28","3","5.5","5.2","6","7.5","8","9",""
="3576","聯合再生","01/08","9.43","+0.11","+1.18","年","0.011","0","0","0","0","0","0","0.1","0","0",""
="3577","泓格","01/08","61.2","-0.7","-1.13","年","1.122","1","1.5","0.7","0.7","0.7","1.5","1.5","1","1.5",""
="3580","友威科","01/08","70.1","-2.8","-3.84","年","2.196","0","3","2.1","1.745","1.3","2.1","4.5","2.02","3",""
="3581","博磊","01/08","64.8","-2","-2.99","年","0.789","1","1","0.7","0.7","0.9","1","0.8","0.5","0.5",""
="3583","辛耘","01/08","341.5","-9","-2.57","年","2.774","2.02","2","2.5","2","1.85","2.5","3.6","4","4.5",""
="3587","閎康","01/08","189","-1.5","-0.79","年","5.049","3.5","2.5","3","3","4.5","5","8.075","8.927","6.939",""
="3588","通嘉","01/08","54.2","+4.9","+9.94","年","1.129","1.502","0.501","0.75","1","0.6","3.302","0.907","0.4","1.198",""
="3591","艾笛森","01/08","18.35","-0.05","-0.27","年","0.281","0","0","0.3","0.102","0.319","0.278","0.291","0.5","0.739",""
="3592","瑞鼎","01/08","222","-0.5","-0.22","年","17.88","6.5","5.5","7","8","10.5","45","41","15.2","22.2",""
="3593","力銘","01/08","12.9","-0.1","-0.77","年","0","0","0","0","0","0","0","0","0","0",""
="3594","磐儀","01/08","36.4","-0.55","-1.49","年","0.332","0.201","0.202","0.1","0.097","0.096","0.095","0.8","0.6","0.799",""
="3596","智易","01/08","172","-5.5","-3.1","年","5.368","3.9","2","3.5","4.7","6.499","6.709","6.5","7","7.5",""
="3597","映興","01/08","25.4","0","0","年","1.012","0.507","0.2","1.8","0.85","1.2","1.7","1.7","0.3","0.85",""
="3605","宏致","01/08","60.9","-1.4","-2.25","年","0.658","0.6","0.4","0.7","0.75","0.7","1.5","0.55","0","0.721",""
="3607","谷崧","01/08","14.25","-0.25","-1.72","年","0.689","1.5","0.8","0.5","0","0","1","1","0.7","0.7",""
="3609","三一東林","01/08","39.1","-0.5","-1.26","年","0.244","0","0.2","0.5","0","1.5","0","0","0","0",""
="3611","鼎翰","01/08","200","+0.5","+0.25","年","10.77","10","10","10","10","10","11","12.97","13","9.981",""
="3615","安可","01/08","25.9","-1.2","-4.43","年","0.263","0.1","0.6","0.3","0","0","0.368","0","0.7","0.3",""
="3622","洋華","01/08","63.3","-1.4","-2.16","年","1.144","0","0.3","0.5","0.8","1","1.2","1.5","2","3",""
="3623","富晶通","01/08","27.55","-1.2","-4.17","年","1.076","4","3.186","2.5","0","0","0","0","0","0",""
="3624","光頡","01/08","57.1","-2.9","-4.83","年","1.214","0.5","0.5","1.2","0.7","0.8","2.2","2.6","1.2","1.23",""
="3625","西勝","01/08","19.6","-0.4","-2","年","0.278","0","1","1","0.5","0","0","0","0","0",""
="3628","盈正","01/08","67.5","-1.8","-2.6","年","1.806","3","2.5","1.5","1","1","1.25","2","2","2",""
="3630","新鉅科","01/08","30.05","-1.45","-4.6","年","0","0","0","0","0","0","0","0","0","0",""
="3631","晟楠","01/08","22.9","-0.2","-0.87","年","0.056","0","0","0","0","0","0.5","0","0","0",""
="3632","研勤","01/08","9.33","+0.03","+0.32","年","0","0","0","0","0","0","0","0","0","0",""
="3645","達邁","01/08","52.1","-1","-1.88","年","1.054","1.2","1.5","1.5","0.5","1.499","1.193","0.6","0.3","1.195",""
="3646","艾恩特","01/08","23.75","+0.2","+0.85","年","1.295","0.992","1","0.997","0.85","0.923","1.677","2.07","1.5","1.65",""
="3652","精聯","01/08","28.9","+0.3","+1.05","年","0.492","0.7","0.7","0.7","0.14","0.153","0.415","0.67","0.346","0.6",""
="3653","健策","01/08","2445","-40","-1.61","年","6.727","2","2","3.528","5","6.001","5.997","11.66","9.855","14.5",""
="3661","世芯-KY","01/08","3600","-80","-2.17","年","10.67","0","1.067","1.53","3.451","6.689","11.35","13.06","22.42","36.48",""
="3663","鑫科","01/08","52.7","-2","-3.66","年","0.687","0.6","0.5","0.4","1","0.8","0.9","1","0.587","0.4",""
="3664","安瑞-KY","01/08","17.55","+0.45","+2.63","年","0","0","0","0","0","0","0","0","0","0",""
="3665","貿聯-KY","01/08","1410","-20","-1.4","年","8.476","6.314","6.828","7.5","9","8.025","9.45","9.886","8.781","10.51",""
="3666","光耀","01/08","31.7","+0.2","+0.63","年","0.478","1","1.3","0","0","2","0","0","0","0",""
