"代號","名稱","股價日期","成交","漲跌價","漲跌幅","股利發放頻率","平均股利(元)","2017發放年度","2018發放年度","2019發放年度","2020發放年度","2021發放年度","2022發放年度","2023發放年度","2024發放年度","2025發放年度","2026發放年度"
="2375","凱美","01/08","88.8","-4.5","-4.82","半年","0","0","0","0","0","0","0","0","0","0","0"
="2380","虹光","01/08","5.53","+0.5","+9.94","半年","0","0","0","0","0","0","0","0","0","0",""
="2382","廣達","01/08","273","-9","-3.19","半年","0","0","0","0","0","0","0","0","0","0",""
="2405","輔信","01/08","17.45","-0.7","-3.86","半年","0","0","0","0","0","0","0","0","0","0","0"
="2454","聯發科","01/08","1445","-45","-3.02","半年","0","0","0","0","0","0","0","0","0","0","0"
="2458","義隆","01/08","118","+0.5","+0.43","半年","0","0","0","0","0","0","0","0","0","0",""
="2474","可成","01/08","205.5","-2","-0.96","半年","0","0","0","0","0","0","0","0","0","0",""
="2489","瑞軒","01/08","15.8","-0.95","-5.67","半年","0.05","0","0","0","0","0","0.5","0","0","0","0"
="2496","卓越","01/08","67.7","-0.2","-0.29","半年","0.223","0.5","0.5","0","1.01","0","0","0","0","0",""
="2506","太設","01/08","9.08","-0.05","-0.55","半年","0","0","0","0","0","0","0","0","0","0",""
="2528","皇普","01/08","29.95","+0.1","+0.34","","0.05","0","0","0","0","0","0","0","0","0.5","0"
="2543","皇昌","01/08","62.5","+0.3","+0.48","半年","0.644","0","0","0","0","0","0","0","4.1","1.7",""
="2636","台驊控股","01/08","67.4","+0.4","+0.6","半年","0","0","0","0","0","0","0","0","0","0",""
="2751","王座","01/08","61.9","+0.3","+0.49","半年","0","","0","","0","0","0","0","0","0",""
="2753","八方雲集","01/08","191","+1","+0.53","半年","0","","","0","0","0","0","0","0","0",""
="2939","永邑-KY","01/08","24.05","-1.65","-6.42","半年","0.05","0.5","0","0","0","0","0","0","0","0","0"
="2947","振宇五金","01/08","82.6","+0.3","+0.36","半年","0.167","","","","0","0","0","0","0","1",""
="3008","大立光","01/08","2475","-75","-2.94","半年","0","0","0","0","0","0","0","0","0","0",""
="3042","晶技","01/08","79.7","-0.2","-0.25","半年","0","0","0","0","0","0","0","0","0","0",""
="3049","精金","01/08","7.05","-0.14","-1.95","半年","0","0","0","0","0","0","0","0","0","0","0"
="3054","立萬利","01/08","31.65","-1.05","-3.21","半年","0","0","0","0","0","0","0","0","0","0",""
="3149","正達","01/08","40.7","+1.1","+2.78","半年","0","0","0","0","0","0","0","0","0","0",""
="3260","威剛","01/08","286","-4","-1.38","半年","0","0","0","0","0","0","0","0","0","0","0"
="3293","鈊象","01/08","730","+6","+0.83","半年","2","0","0","0","0","0","10","0","10","0","0"
="3406","玉晶光","01/08","428.5","-10","-2.28","半年","0","0","0","0","0","0","0","0","0","0","0"
="3555","博士旺","01/08","91.1","+1.9","+2.13","半年","0","0","0","0","0","0","0","0","0","0",""
="3563","牧德","01/08","503","-17","-3.27","半年","0.111","0","0","0","0","0","0","0","0","1",""
="3617","碩天","01/08","193","-11","-5.39","半年","0.05","0","0","0","0","0","0","0.5","0","0","0"
="3680","家登","01/08","413.5","-5.5","-1.31","半年","0","0","0","0","0","0","0","0","0","0",""
="3708","上緯投控","01/08","109","-1.5","-1.36","半年","0","0","0","0","0","0","0","0","0","0",""
="4148","全宇生技-KY","01/08","37.9","-0.1","-0.26","半年","0.05","0","0","0","0","0","0","0","0","0.5","0"
="4414","如興","01/08","10.95","0","0","半年","0","0","0","0","0","0","0","0","0","0",""
="4420","光明","01/08","50","+0.15","+0.3","半年","0","0","0","0","0","0","0","0","0","0",""
="4536","拓凱","01/08","163.5","+1","+0.62","半年","0","0","0","0","0","0","0","0","0","0","0"
="4714","永捷","01/08","16.6","-0.3","-1.78","半年","0.14","0.186","0","0","0.868","0.345","0","0","0","0","0"
="4763","材料*-KY","01/08","51.8","-1.1","-2.08","半年","0.541","0","0","1","0","1.5","0","1.41","1.498","0","0"
="4764","雙鍵","01/08","122.5","-9","-6.84","半年","0.26","0.3","0","1","0","0.7","0.6","0","0","0","0"
="4923","力士","01/08","27.7","-0.1","-0.36","半年","0.222","0","0","0","0","0","0","2","0","0",""
="4924","欣厚-KY","01/08","10.95","-0.35","-3.1","半年","0","0","0","0","0","0","0","0","0","0",""
="4960","誠美材","01/08","13.45","-0.45","-3.24","半年","0","0","0","0","0","0","0","0","0","0","0"
="4966","譜瑞-KY","01/08","619","+2","+0.32","半年","0","0","0","0","0","0","0","0","0","0","0"
="5283","禾聯碩","01/08","59.1","-0.8","-1.34","半年","0.38","1","0","0","0","0","0","0","0","2","0.8"
="5284","jpp-KY","01/08","278.5","+5.5","+2.01","半年","0","0","0","0","0","0","0","0","0","0","0"
="5287","數字","01/08","169","+0.5","+0.3","半年","0.397","0","0","0","0","0","1.831","1","0.739","0",""
="5288","豐祥-KY","01/08","147","-5","-3.29","半年","0","0","0","0","0","0","0","0","0","0","0"
="5432","新門","01/08","169","-12","-6.63","半年","0","0","0","0","0","0","0","0","0","0","0"
="5438","東友","01/08","22.15","-0.5","-2.21","半年","0","0","0","0","0","0","0","0","0","0",""
="5483","中美晶","01/08","115","-8","-6.5","半年","0","0","0","0","0","0","0","0","0","0","0"
="5493","三聯","01/08","90.1","-4.1","-4.35","半年","0.05","0","0","0","0","0","0","0","0.5","0","0"
="5522","遠雄","01/08","74.5","+1.1","+1.5","半年","0","0","0","0","0","0","0","0","0","0",""
="5536","聖暉*","01/08","786","-16","-2","半年","0.15","0","1.5","0","0","0","0","0","0","0","0"
="6021","美好證","01/08","28","+0.85","+3.13","半年","0","0","0","0","0","0","0","0","0","0",""
="6121","新普","01/08","365","+4","+1.11","半年","0","0","0","0","0","0","0","0","0","0",""
="6184","大豐電","01/08","47.35","+0.15","+0.32","半年","0","0","0","0","0","0","0","0","0","0",""
="6188","廣明","01/08","117","-1","-0.85","半年","0","0","0","0","0","0","0","0","0","0",""
