"代號","名稱","股價日期","成交","漲跌價","漲跌幅","股利發放頻率","平均股利(元)","2017發放年度","2018發放年度","2019發放年度","2020發放年度","2021發放年度","2022發放年度","2023發放年度","2024發放年度","2025發放年度","2026發放年度"
"00781B","國泰A級科技債","01/08","29.48","+0.16","+0.55","季","1.509","","","1.15","1.28","1.23","1.52","1.67","1.76","1.95",""
"00782B","國泰A級公用債","01/08","31.59","+0.21","+0.67","季","1.375","","","0.73","1.41","1.32","1.57","1.74","1.73","2","0.5"
"00785B","富邦金融投等債","01/08","36.18","+0.21","+0.58","季","1.329","","","0.643","1.523","1.572","1.415","1.583","1.721","1.748","0.424"
"00786B","元大10年IG銀行債","01/08","33.68","+0.25","+0.75","季","1.568","","","1","1.443","1.335","1.75","1.88","1.955","1.61",""
"00787B","元大10年IG醫療債","01/08","33.1","+0.27","+0.82","季","1.594","","","1.03","1.397","1.36","1.72","1.84","2.07","1.74",""
"00788B","元大10年IG電能債","01/08","30.7","+0.22","+0.72","季","1.367","","","0.7","1.448","1.365","1.66","1.845","1.85","1.7","0.37"
"00789B","復華公司債A3","01/08","49.75","+0.18","+0.36","季","1.837","","","1.197","2.096","1.846","1.86","2.233","2.436","2.41","0.62"
"00791B","復華信用債1-5","01/08","57.35","+0.15","+0.26","季","1.939","","","1.356","2.548","2.282","2.15","2.094","2.212","2.278","0.59"
"00792B","群益A級公司債","01/08","32.36","+0.19","+0.59","季","1.43","","","0.855","1.457","1.301","1.435","1.509","1.725","1.73",""
"00793B","群益AAA-A醫療債","01/08","31.45","+0.24","+0.77","季","1.508","","","1.084","1.39","1.887","1.519","1.523","1.623","1.532",""
"00795B","中信美國公債20年","01/08","27.61","+0.26","+0.95","季","1.187","","","1.392","0.757","1.026","1.062","1.099","1.53","1.44",""
"00799B","國泰A級醫療債","01/08","30.58","+0.2","+0.66","季","1.504","","","0.71","1.26","1.22","1.57","1.76","1.81","2.2",""
"00834B","第一金金融債10+","01/08","35.29","+0.19","+0.54","季","1.265","","","0.39","1.41","1.9","1.34","1.53","1.645","1.519","0.386"
"00836B","永豐10年A公司債","01/08","29.35","+0.2","+0.69","季","1.405","","","0.824","2.038","1.319","1.31","1.213","1.535","1.593",""
"00841B","凱基AAA-AA公司債","01/08","29.98","+0.23","+0.77","季","1.065","","","0.3","1.172","1.003","1.09","1.16","1.34","1.39",""
"00842B","台新美元銀行債","01/08","32.46","+0.19","+0.59","季","1.425","","","0.44","1.48","1.3","1.63","1.86","1.79","2.2","0.7"
"00844B","新光15年IG金融債","01/08","32.64","+0.2","+0.62","季","1.241","","","0.32","1.217","1.485","1.123","1.225","1.75","1.57",""
"00845B","富邦新興投等債","01/08","34.21","+0.13","+0.38","季","1.22","","","0.426","1.428","1.04","1.285","1.444","1.498","1.42",""
"00846B","富邦歐洲銀行債","01/08","36.86","+0.21","+0.57","季","1.262","","","0.203","1.417","1.299","1.026","1.365","1.718","1.804",""
"00847B","中信美國市政債","01/08","26.33","+0.16","+0.61","季","1.094","","","0.725","1.112","1.046","1.117","1.117","1.14","1.4",""
"00848B","中信新興亞洲債","01/08","35.18","+0.14","+0.4","季","1.366","","","","1.284","1.443","1.448","1.61","1.7","1.7","0.38"
"00849B","中信EM主權債0-5","01/08","37.56","+0.09","+0.24","季","1.065","","","","0.941","1.104","1.213","1.3","1.279","1.29","0.33"
="00850","元大臺灣ESG永續","01/08","57.55","-0.3","-0.52","季","1.602","","","","0.9","1.05","1.48","1.38","2.24","2.56",""
"00853B","統一美債10年Aa-A","01/08","28.28","+0.2","+0.71","季","1.067","","","0.365","1.19","0.99","0.96","1.33","1.33","1.304",""
"00856B","永豐1-3年美公債","01/08","37.74","+0.15","+0.4","季","1.171","","","","0.489","0.415","0.949","1.723","1.719","1.73",""
"00857B","永豐20年美公債","01/08","23.72","+0.24","+1.02","季","1.033","","","","0.859","0.866","0.972","1.285","1.171","1.045",""
"00859B","群益0-1年美債","01/08","41.24","+0.2","+0.49","季","0.858","","","0.1","0.53","0.358","0.503","1.081","1.479","1.957",""
"00860B","群益1-5Y投資級債","01/08","38.34","+0.04","+0.1","季","1.187","","","0.041","0.825","0.506","1.062","1.984","2.028","1.866",""
"00862B","中信投資級公司債","01/08","32.22","+0.2","+0.62","季","1.399","","","","1.291","1.073","1.315","1.495","1.664","1.555",""
"00863B","中信全球電信債","01/08","32.69","+0.19","+0.58","季","1.429","","","","1.153","1.286","1.301","1.473","1.63","1.73",""
"00864B","中信美國公債0-1","01/08","46.52","+0.26","+0.56","季","0.187","","","","0","0","0","0","0","1.12",""
"00867B","新光A-BBB電信債","01/08","31.91","+0.16","+0.5","季","1.37","","","","1.019","1.255","1.31","1.465","1.5","1.67",""
"00870B","元大15年EM主權債","01/08","29.26","+0.15","+0.52","季","1.214","","","","0.65","1.45","1.54","1.44","1.54","1.52","0.36"
="00878","國泰永續高股息","01/08","22.12","-0.08","-0.36","季","1.205","","","","0.05","0.98","1.18","1.24","2.01","1.77",""
"00884B","中信低碳新興債","01/08","30.41","+0.08","+0.26","季","1.143","","","","","0.801","1.326","1.406","1.139","1.825","0.36"
="00888","永豐台灣ESG","01/08","21.36","-0.1","-0.47","季","0.683","","","","","0.432","0.446","0.832","0.717","1.16","0.51"
="00891","中信關鍵半導體","01/08","21.17","-0.21","-0.98","季","1.076","","","","","0.55","0.65","0.73","1.62","1.83",""
="00894","中信小資高價30","01/08","28.74","-0.19","-0.66","季","0.9","","","","","0.06","0.64","0.55","1.5","1.75",""
="00896","中信綠能及電動車","01/08","19.66","-0.21","-1.06","季","1.174","","","","","","0.405","0.93","1.51","1.85",""
="00904","新光臺灣半導體30","01/08","25.61","-0.05","-0.19","季","0.698","","","","","","0.21","0.44","0.65","1.43","0.76"
="00905","FT臺灣Smart","01/08","18.06","-0.03","-0.17","季","0.542","","","","","","","0.62","0.9","0.4","0.25"
="00908","富邦入息REITs+","01/08","14.09","+0.12","+0.86","季","0.436","","","","","","0.225","0.573","0.644","0.618","0.121"
="00912","中信臺灣智慧50","01/08","22.53","-0.02","-0.09","季","0.83","","","","","","0.2","0.87","1.38","1.05","0.65"
="00915","凱基優選高股息30","01/08","23.07","-0.02","-0.09","季","2.017","","","","","","","1.69","3.01","1.35",""
="00918","大華優利高填息30","01/08","22.68","-0.21","-0.92","季","2.408","","","","","","","1.62","3.12","2.485",""
="00919","群益台灣精選高息","01/08","22.93","+0.01","+0.04","季","2.317","","","","","","","1.63","2.8","2.52",""
="00921","兆豐龍頭等權重","01/08","17.78","+0.06","+0.34","季","1.118","","","","","","","0.97","1.8","0.585",""
="00927","群益半導體收益","01/08","23.37","-0.27","-1.14","季","1.102","","","","","","","0.44","1.88","1.18","0.91"
"00931B","統一美債20年","01/08","13.87","+0.13","+0.95","季","0.322","","","","","","","0.09","0.525","0.55","0.122"
="00932","兆豐永續高息等權","01/08","14.55","-0.07","-0.48","季","1.135","","","","","","","","1.69","0.58",""
="00938","凱基優選30","01/08","18.08","+0.1","+0.56","季","0.28","","","","","","","","","0.28",""
="00947","台新臺灣IC設計","01/08","21.29","-0.07","-0.33","季","0.18","","","","","","","","","0.24","0.12"
="00956","中信日經高股息","01/08","11.81","+0.02","+0.17","季","0.353","","","","","","","","","0.445","0.26"
="00960","野村全球航運龍頭","01/08","15.02","+0.29","+1.97","季","0.495","","","","","","","","","0.765","0.225"
="00972","野村日本動能高息","01/08","18.6","+0.14","+0.76","季","0.39","","","","","","","","","0.39",""
="009802","富邦旗艦50","01/08","11.59","-0.14","-1.19","季","0.198","","","","","","","","","0.198",""
="009803","保德信市值動能50","01/08","13.6","-0.04","-0.29","季","0.41","","","","","","","","","0.41",""
="009808","華南永昌優選50","01/08","20.65","-0.02","-0.1","季","0.41","","","","","","","","","0.41",""
"00980A","主動野村臺灣優選","01/08","15.39","-0.14","-0.9","季","0.328","","","","","","","","","0.328",""
"00982A","主動群益台灣強棒","01/08","14.78","-0.17","-1.14","季","0.57","","","","","","","","","0.57",""
"00984A","主動安聯台灣高息","01/08","11.58","-0.07","-0.6","季","0.189","","","","","","","","","0.21","0.168"
="1102","亞泥","01/08","37.1","+0.3","+0.82","季","2.136","0.9","1.2","2.8","3","3.463","3.4","2.3","2.1","2.2","0"
="1218","泰山","01/08","18.1","-0.05","-0.28","季","0.713","0","0.4","0.8","0.9","1.4","1","0.57","0","1.35",""
="1229","聯華","01/08","46.25","0","0","季","1.4","1.6","1.8","1.6","1.6","1.7","1.8","1.3","1.3","1.3","0"
="1341","富林-KY","01/08","57.9","+0.7","+1.22","季","4.465","","0","3","5","6","9.131","2.988","4.4","5.2",""
="1437","勤益控","01/08","33.15","-0.05","-0.15","季","0.796","0.5","0.5","0.5","1.1","0.7","0.9","0.8","1.13","1.35","0.484"
="1593","祺驊","01/08","29.55","-0.25","-0.84","季","2.64","2.999","3.239","4","3.2","3.584","3.596","2.584","1.6","1.6","0"
="2028","威致","01/08","17.8","-1.05","-5.57","季","0.49","0","0","0","0","0","3.353","0.95","0.6","0","0"
="2061","風青","01/08","18.6","+0.25","+1.36","季","0.1","0","0","0","0","0","1","0","0","0","0"
="2063","世鎧","01/08","24.6","+0.1","+0.41","季","2.37","1.2","2.5","3","2.5","3","3.5","4.5","1.5","2","0"
="2065","世豐","01/08","29.3","+0.5","+1.74","季","3.004","3","1.58","2.7","3.764","2.117","5.5","5.481","3.358","2.536","0"
="2301","光寶科","01/08","161.5","-2","-1.22","季","3.93","2.92","2.92","2.92","3.2","5.4","4","5","4.506","4.507",""
="2330","台積電","01/08","1685","+10","+0.6","季","11.05","7","8","12.5","10","10.5","11","11.5","15","19","6"
="2365","昆盈","01/08","34.8","-1.05","-2.93","季","0.252","0","0.302","0.2","0.418","0.304","0.2","0.2","0.3","0.6","0"
="2461","光群雷","01/08","16.25","-0.5","-2.99","季","0.792","0.815","0.56","0.41","0","1.5","1.492","1.479","0.854","0.814","0"
="2530","華建","01/08","29.2","+0.1","+0.34","季","0.639","0.8","0","0.3","0.1","0","0","0.411","1.876","2.268",""
="2707","晶華","01/08","189.5","+1","+0.53","季","8.767","8.167","6.912","17.14","3.921","4.389","12.39","9.007","11.38","14.36","0"
="2718","全心投控","01/08","51.1","0","0","季","0.821","0.5","0.2","0","0","0","0","0","3","4.513","0"
="2732","六角","01/08","68.4","0","0","季","5.144","4.917","3.942","4.38","8.45","2.984","4.341","7.282","5.997","4",""
="2756","聯發國際","01/08","77.4","+0.1","+0.13","季","3.186","","","5.5","3","2.19","4","4.5","3.7","2.6","0"
="2762","世界健身-KY","01/08","75.7","-0.6","-0.79","季","6.816","","","","","","","","8.107","5.525",""
="3041","揚智","01/08","24.8","-0.65","-2.55","季","0","0","0","0","0","0","0","0","0","0",""
="3289","宜特","01/08","114","-1.5","-1.3","季","2.296","1.984","1","0","2","4.26","0.444","2.98","3.733","4.332","2.231"
="3465","進泰電子","01/08","49","0","0","季","1.65","0","0","0","0","4","6.5","4","1","1","0"
="3629","地心引力","01/08","22.3","0","0","季","0","0","0","0","0","0","0","0","0","0",""
="4137","麗豐-KY","01/08","103","+1","+0.98","季","9.69","6.5","8.043","12","13.05","8.5","12","7","10.12","10",""
="4735","豪展","01/08","32.15","-0.35","-1.08","季","3.359","2.01","2.269","2.302","8.702","8.2","2.5","1.5","0.45","2.3",""
="4755","三福化","01/08","110.5","-2","-1.78","季","3.03","1.6","2.6","2.7","2.5","3","5","5.9","3.5","3.5","0"
="4766","南寶","01/08","321.5","+1.5","+0.47","季","7.8","5","5","5","6","7","6","10","15","19","0"
="4804","大略-KY","01/08","7.08","-0.22","-3.01","季","0.389","3","0.5","0","0","0","0","0","0","0",""
="4912","聯德控股-KY","01/08","99.4","-3.6","-3.5","季","2.903","4","2.5","2.499","3.456","5.865","3.005","1.392","2.481","0.93",""
="4989","榮科","01/08","49.8","-0.05","-0.1","季","0.807","0","3.201","1.6","0.6","0.667","1.5","0.5","0","0","0"
="5009","榮剛","01/08","32.65","-0.8","-2.39","季","1.093","0.4","0.307","0.45","0.507","0.4","1.4","2.369","2.5","2.6","0"
="5278","尚凡*","01/08","30","0","0","季","7.095","0","0","18.04","11.16","12.49","13.73","10.21","4.447","0.713","0.167"
="5306","桂盟","01/08","89.5","+0.6","+0.67","季","5.276","3.25","4.5","4.5","4.5","11.7","9","6.7","3.303","4.271","1.034"
="5478","智冠","01/08","99.5","+2","+2.05","季","4.991","2","2","2.2","4.018","6","5.2","7","9","7.5",""
="6123","上奇","01/08","46.35","-0.15","-0.32","季","3.473","2.5","3","4.1","3.6","4.177","4.552","4.85","3.9","4.05","0"
="6148","驊宏資","01/08","39.1","-0.6","-1.51","季","0.646","0","0","1","0.316","0.81","1.001","0.751","1.2","1.38","0"
="6219","富旺","01/08","20.15","-0.05","-0.25","季","0.56","0.09","0.748","1.159","0.652","2","0.25","0","0","0.7","0"
="6277","宏正","01/08","60","-0.1","-0.17","季","5.01","5.8","5.5","8","7.8","5.3","5.3","5.4","3.9","3.1","0"
="6523","達爾膚","01/08","118","-1","-0.84","季","8.848","6.6","2.504","0.45","13.86","17.22","8","10","11","10",""
="6548","長科*","01/08","45.3","-2.2","-4.63","季","4.041","1.2","11.5","17.34","1.3","1.598","2.42","1.608","1.63","1.358","0.45"
="6574","霈方","01/08","66","-1","-1.49","季","3.018","7.07","6.162","4","1.23","1.38","1.14","3.5","3.5","2.2","0"
="6799","來頡","01/08","82.5","-2.5","-2.94","季","1.865","","","","","0.5","2.728","3.003","2.969","1.988","0"
="6919","康霈*","01/08","142","+0.5","+0.35","季","0","","","","","","0","0","0","0",""
="6931","青松健康","01/08","60.8","-0.1","-0.16","季","0.277","","","","","","","0.02","0.09","0.72",""
="7631","聚賢研發-創","01/08","136","-0.5","-0.37","季","3.495","","","","","","","6.55","3.5","3.181","0.75"
="7780","大研生醫","01/08","185","+3.5","+1.93","季","4.787","","","","","","","","0.051","9.523",""
="8411","福貞-KY","01/08","12.25","+0.1","+0.82","季","0.152","0.35","0.35","0","0.29","0","0.4","0","0.08","0.05","0"
="8443","阿瘦","01/08","11.1","0","0","季","0.168","0.3","0.28","0.43","0.15","0.15","0","0","0","0.2",""
="8467","波力-KY","01/08","169.5","-2.5","-1.45","季","1.9","1.54","1.5","2.5","2","0.5","5","0","0","4.058",""
="9946","三發地產","01/08","19.15","+0.05","+0.26","","0.517","0.5","0.6","0.3","0.62","0.3","0.68","0.428","0.7","1.041","0"
